nwname,fname,smile,CHA score,CCA score,mws,logps,hbds,hbas,psas,robs,qeds,chiral_centes,RO5scores,RO5scoresnum
340ag,P34304240.sdf,CC(C)(c1ccc(cc1)OC[C@@H](C[N+](C)(C)N)O)c2ccc(cc2)OC[C@H](C[N+](C)(C)N)[O-],0.394,0.04,461.6,0.76,5,8,113.8,12,0.24,2,--+-++,3
341ag,P34132291.sdf,CC(C)Cn1c(c(c(=O)[nH]c1=O)N(CCOC)C(=O)CCC(=O)Nc2ccc(nc2)n3cncn3)N,0.848,0.05,499.5,0.15,4,14,183.1,11,0.33,0,---+++,3
342ag,P33407994.sdf,C1C[NH+](CCN(CC[NH+](CC[NH+]1CC(=O)[O-])CC(=O)[O-])[C@H](CO)[C@@H](CO)O)CC(=O)[O-],0.424,0.53,450.5,-12.08,6,13,197.6,10,0.19,4,--++++,4
343ag,P32854411.sdf,CC(=O)N[C@H](C(=O)NN/C(=N\[N+](=O)[O-])/N)C(=O)N[N-]/C(=N/[N+](=O)[O-])/N,0.091,0.19,362.2,-4.47,8,18,276.5,5,0.09,1,--++-+,3
344ag,P32836862.sdf,c1c(nc(s1)NC(=[NH2+])N)C[S@@](=O)CCC(=O)NS(=O)(=O)N,0.061,0.07,355.4,-3.41,8,10,182.9,7,0.25,1,--++-+,3
345ag,P32832197.sdf,c1c(c(c(c[n+]1CCCC[C@H](C(=O)[O-])[NH3+])[O-])C[C@@H](C(=O)[O-])[NH3+])CC[C@@H](C(=O)[O-])[NH3+],0.364,0.1,412.4,-8.23,9,11,230.2,13,0.21,3,--++++,4
346ag,P32831595.sdf,C[C@H]([C@H](C(=O)[O-])NC(=O)/C(=N\OC(C)(C)C(=O)N)/c1csc(n1)N)[NH2+]S(=O)(=O)[O-],0.394,0.21,451.5,-4.64,7,14,246.6,10,0.15,2,--++++,4
347ag,P32818456.sdf,C(CCCCO[C@@H]1[C@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)CCCC(=O)[O-],0,0.11,335.4,-1.72,4,8,139.5,11,0.33,5,----++,2
348ag,P32818453.sdf,C(CCCCO[C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)CO)O)O)O)CCCC(=O)[O-],0.758,0.14,335.4,-1.72,4,8,139.5,11,0.33,5,----++,2
349ag,P32804862.sdf,C[C@H]([C@@H](C(=O)[O-])NC(=O)/C(=N\OC(C)(C)C(=O)N)/c1csc(n1)N)NS(=O)(=O)[O-],0.152,0.19,450.5,-3.62,6,14,242,10,0.15,2,--++++,4
350ag,P32804857.sdf,C[C@@H]([C@H](C(=O)[O-])NC(=O)/C(=N\OC(C)(C)C(=O)N)/c1csc(n1)N)NS(=O)(=O)[O-],0.515,0.21,450.5,-3.62,6,14,242,10,0.15,2,--++++,4
351ah,P32771677.sdf,CC[C@@]1(C(=O)N(C(=O)N1)/N=C(/CNc2cc(ccc2NCCO)[N+](=O)[O-])\[O-])C,0.303,0.17,393.4,-0.19,4,12,172.3,9,0.15,1,---+-+,2
352ah,P32693001.sdf,[H]/N=C(\c1c(non1)NCNc2c(non2)C(=[NH2+])N/N=C/c3ccncc3)/N/N=C/c4ccncc4,0.424,0.21,475.5,-1.2,7,16,225.9,10,0.07,0,--++++,4
353ah,P32286538.sdf,CCOc1ccc(cc1OCC)NC(=O)C[NH+](C)CC(=O)NNC(=O)Cc2nc(cs2)C,0.424,0.3,464.6,0.09,4,10,123.1,11,0.35,1,---+++,3
354ah,P32168858.sdf,Cc1cc(nc(n1)N/C(=N\C(=S)NCCCN2CCOCC2)/NCC[NH+]3CCOCC3)C,0.818,0.07,465.6,-1.04,4,10,100.4,8,0.17,0,---+-+,2
355ah,P32168668.sdf,Cc1cc(nc(n1)N/C(=N/C(=S)NCCC[NH+]2CCOCC2)/NCCc3c[nH]cn3)C,0.394,0.14,446.6,-0.4,5,10,116.6,8,0.16,0,--++-+,3
356ah,P31991363.sdf,c1ccc2c(c1)c(nn(c2=O)CC(=O)OCC(=O)Nc3cc(cc(c3)C(=O)N)C(=O)N)C(=O)N,0.03,0.09,466.4,-1.12,7,13,219.6,8,0.3,0,--++-+,3
357ah,P31683362.sdf,CC[C@@H]1C(=C(NC(=O)N1)COC(=O)CCNS(=O)(=O)c2ccc(cc2)NC(=O)C)C(=O)OCC,0.333,0.08,496.5,0.77,4,12,169,11,0.33,1,---+++,3
358ah,P31255374.sdf,c1cc(ccc1NC(=O)CCSc2nnc(n2N)N[NH3+])S(=O)(=O)N3CCOCC3,0.121,0.05,443.5,-1.3,7,12,172.1,8,0.22,0,--++-+,3
359ah,P31255159.sdf,CCc1nnc(o1)CN2CCN(CC2)C(=O)CSc3nnc(n3N)N[NH3+],0.394,0,383.5,-2.06,6,12,158.9,7,0.28,0,--++-+,3
360ah,P31253842.sdf,Cc1c(c(n(n1)C(C)C)C)/C=N/Nc2nnc(n2N)SCC(=O)N3CCCN(CC3)Cc4nnc(o4)C,0.061,0.1,530.7,1.35,3,14,161.4,9,0.18,0,---+-+,2
361ah,P31237676.sdf,Cc1nnc(o1)CSc2nnc(s2)NC(=O)CSc3nnc(n3N)NN,0.545,0.12,415.5,-0.16,6,13,188.6,8,0.16,0,--++-+,3
362ah,P31237156.sdf,CC(C)c1nnc(o1)CN2CCN(CC2)C(=O)CSc3nnc(n3N)NN,0.364,0.04,396.5,-0.78,5,12,157.2,7,0.31,0,--++-+,3
363ah,P31236462.sdf,Cc1nnc(s1)NC(=O)CSc2nnc(n2N)N/N=C/c3cnn(c3)C(C)C,0,0.12,421.5,1.11,4,12,153.8,8,0.21,0,---+-+,2
364ah,P31234690.sdf,COc1cc(cc(c1OC)OC)/C=N/Nc2nnc(n2N)SCCC(=O)NCc3ccco3,0.333,0.05,475.5,1.86,4,12,151,12,0.15,0,---+++,3
365ah,P31229947.sdf,COCC(=O)NNC(=O)CSc1nnc(n1N)N/N=C/c2cccc(c2)O,0.182,0.09,394.4,-0.97,6,12,168.8,8,0.16,0,--++-+,3
366ah,P31219963.sdf,COC(=O)c1ccc(cc1)/C=N/Nc2[nH]nc(n2)SCC(=O)Nc3nnc(s3)SCC(=O)N,0.545,0.07,507.6,1.2,5,13,190.2,11,0.1,0,--++++,4
367ah,P31103783.sdf,CC(C)n1cc(cn1)/C=N/Nc2nnc(n2N)SC/C(=N/c3nccs3)/[O-],0.455,0.16,405.5,0.85,3,11,147.2,8,0.18,0,---+-+,2
368ah,P31102154.sdf,CCNS(=O)(=O)c1ccc(cc1)NC(=O)CSc2nnc(n2N)COC,0.333,0,400.5,0.17,4,10,141.2,9,0.4,0,---+-+,2
369ah,P31088562.sdf,CCOc1cc(ccc1O)/C=N/Nc2[nH]nc(n2)SCC(=O)Nc3nnc(s3)SCC(=O)N,0.121,0.09,509.6,1.51,6,13,193.4,12,0.1,0,--++++,4
370ah,P30597132.sdf,c1ccc(cc1)NC(=S)NNC(=O)[C@@H]([C@@H](C(=O)NNC(=S)Nc2ccccc2)O)O,0.091,0.22,448.5,-0.26,8,10,146.8,5,0.23,2,--++-+,3
371ah,P30583916.sdf,CC[NH+]1CCN(CC1)C[C@H](COc2ccc(cc2OC)C[NH2+]CCc3c([nH]nc3C)C)O,0.606,0.04,447.6,-0.7,5,8,91.7,12,0.32,1,--+-++,3
372ah,P30573414.sdf,CC(C)NC(=O)CC[C@@H]1CNC(=O)[C@H]2N1C[C@H](C2)NC(=S)NCCN3CCOCC3,0.758,0,440.6,-0.97,4,9,98,8,0.36,3,-----+,1
373ah,P30117687.sdf,CNC(=S)NNC(=O)[C@@H]([C@@H](C(=O)NNC(=S)NC)O)O,0.606,0.19,324.4,-4.04,8,10,146.8,3,0.19,2,--++-+,3
374ah,P30101802.sdf,COC(CNC(=O)c1c[nH]c2ccc(cc2c1=O)S(=O)(=O)[N-]c3cccc(c3)SC)OC,0.152,0.07,476.6,2.99,2,9,128.7,9,0.36,0,-----+,1
375ah,P30029728.sdf,CCOC(=O)CC1=C([C@@]2(c3ccccc3N(C(=C2C(=O)OCC)N)CC(=O)N)C(=O)O1)C(=O)OCC,0.061,0.05,501.5,0.29,4,12,177.5,9,0.35,1,---+-+,2
376ah,P30021198.sdf,C1COCC[NH+]1CCCNC(=O)NCCCCCCNC(=O)NCCC[NH+]2CCOCC2,0.182,0.12,458.6,-2.24,6,10,109.6,15,0.16,0,--++++,4
377ah,P30018356.sdf,C1COCC[NH+]1CCCNC(=O)NCCCCCCNC(=O)NCCCN2CCOCC2,0.515,0.18,457.6,-0.83,5,10,108.4,15,0.21,0,--++++,4
378ah,P29934948.sdf,CCOC(=O)C(CCC([NH3+])([P@@](=O)(O)[O-])[P@](=O)(O)[O-])(C(=O)OCC)NC(=O)C,0.242,0.27,433.3,-3.25,6,13,230.1,10,0.15,3,--++++,4
379ah,P29875088.sdf,c1cc(ccc1c2nc3cc(ccc3o2)NC(=O)C[NH2+]CCCO)NC(=O)CNCCCO,0.03,0,456.5,0.29,7,10,153.3,13,0.2,0,--++++,4
380ah,P29754983.sdf,C[NH+](C)CCCNS(=O)(=O)c1ccc(nc1)NN,0.939,0,274.4,-1.82,5,7,101.6,7,0.27,0,--+--+,2
381ah,P29022186.sdf,c1cc(ccc1F)S(=O)(=O)[N-]c2cc(c(cc2S(=O)(=O)N)S(=O)(=O)N)Cl,0.061,0.031,442.9,1.17,4,9,168.6,5,0.7,0,------,0
382ah,P28981979.sdf,C[C@@]1([C@H]([C@H]1C(=O)NCc2ccncc2)C(=O)NCCn3ccnc3)C(=O)c4ccccc4N,0.576,0.18,446.5,1.43,4,9,132,9,0.34,3,-----+,1
383ah,P28924579.sdf,CC12CN3CC(C1=O)(CN(C2)C3[C@@H]([C@H]([C@H]([C@H](CO)O)O)O)O)C,0.303,0.22,330.4,-3.03,5,8,124.7,5,0.36,4,--+--+,2
384ah,P28730388.sdf,CCOc1ccc(cc1)CC(=O)N/N=C\C(=N/NC(=O)Cc2ccc(cc2)OCC)\[C@H]([C@H]([C@H](CO)O)O)O,0.303,0.24,530.6,-0.08,6,12,182.3,15,0.14,3,--++++,4
385ah,P28356272.sdf,CC[NH+](CC)C[C@@H](Cn1c(=O)n(c(=O)n(c1=O)C[C@@H](CN(CC)CC)O)C[C@H](C[NH+](CC)CC)O)O,0,0.11,518.7,-4.55,5,12,138.8,18,0.13,3,--++++,4
386ah,P28354396.sdf,C(CN(CC(=O)N)CC(=O)N)N(CC(=O)N)CC(=O)N,0.455,0.04,288.3,-4.47,8,10,178.8,11,0.3,0,--++++,4
387ah,P28348620.sdf,C(CN(CC(=O)N)CC(=O)N)[NH+](CC(=O)N)CC(=O)N,0.03,0.06,289.3,-5.89,9,10,180,11,0.25,0,--++++,4
388ah,P28265374.sdf,c1cc2c(cc1[N+](=O)[O-])nc(n2CC(C(=O)N)C(=O)N)SC(C(=O)N)C(=O)N,0,0.08,409.4,-2.04,8,13,233.3,9,0.16,0,--++-+,3
389ah,P27152453.sdf,c1nc2c(=O)[nH]c(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)([O-])O[P@](=O)([O-])OP(=S)(O)O)O)O)N,0.576,0.23,537.2,-3.48,7,18,287.7,8,0.18,6,--++-+,3
390ah,P27098149.sdf,c1[nH+]c2c(c(n1)N)ncn2[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)([O-])O[P@@](=O)([O-])O[P@](=O)(O)S)O)O,0,0.23,522.2,-2.54,6,17,265.8,8,0.18,7,--++-+,3
391ah,P25932414.sdf,CCCCCn1c(nn(c1=S)[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)c3ccncc3,0.121,0.23,451.5,0.78,4,10,134.7,8,0.34,5,---+-+,2
392ah,P25604371.sdf,c1cc(ccc1NC(=O)CNNC(=[NH2+])N)S(=O)(=O)c2ccc(cc2)NC(=O)CNNC(=[NH2+])N,0.061,0,478.5,-5.27,14,14,243.7,10,0.09,0,--++++,4
393ah,P25593029.sdf,C(CSS(=O)(=O)O)[NH2+]C[C@H]([C@@H](C[NH2+]CCSS(=O)(=O)O)O)O,0.121,0.14,402.5,-4.09,8,10,182.4,13,0.1,2,--++++,4
394ah,P25552245.sdf,C(CCC(=O)N(CCO)CCO)CC(=O)N(CCO)CCO,0.303,0.03,320.4,-1.83,4,8,121.5,13,0.3,0,----++,2
395ah,P25539307.sdf,c1ccc(cc1)/C=C\2/C(=O)NC(=N2)N/N=C/[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.182,0.22,364.4,-2.48,7,10,167,7,0.16,4,--++-+,3
396ah,P25539301.sdf,c1ccc(cc1)/C=C\2/C(=O)NC(=N2)N/N=C/[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.061,0.24,364.4,-2.48,7,10,167,7,0.16,4,--++-+,3
397ah,P25527062.sdf,c1c(c(=O)[nH]c(=O)n1C(=O)NCCCCCCNC(=O)N[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O)CO)O)O)F,0.091,0.21,477.4,-3.11,8,14,215.2,9,0.17,5,--++-+,3
398ah,P25522775.sdf,c1ccc(cc1)n2ncc(n2)[C@@H]([C@H]([C@@H](CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,0,0.25,427.4,-3.16,7,12,190.8,8,0.22,8,--++-+,3
399ah,P25522458.sdf,Cc1ccc(cc1)S(=O)(=O)OC[C@H](/C=N/NC(=O)N)OCO[C@H](C)/C=N/NC(=O)N,0.636,0.17,444.5,-0.24,6,13,196.8,12,0.15,2,--++++,4
400ah,P25512100.sdf,CNC(=O)c1csc(n1)N/N=C/[C@@H]([C@H]([C@H](CO)O)O)O,0.455,0.23,304.3,-2.02,6,9,147.3,7,0.25,3,--+--+,2
401ai,P25502125.sdf,c1nc(c2c(n1)n(cn2)[C@@H]3[C@@H]([C@H]([C@@H](O3)CS[C@@H](CCCCC[NH3+])CC[NH3+])O)O)N,0.515,0.07,427.6,-1.44,10,10,174.6,11,0.27,5,--++++,4
402ai,P25178581.sdf,CCOc1cc(cc(c1OCC(=O)N)Cl)C[NH2+]CCNC(=O)c2c(non2)N,0.212,0.08,413.8,-0.94,7,11,172.2,11,0.34,0,--++++,4
403ai,P24932296.sdf,COc1cc(cc(c1OC)OC)/C=N/Nc2nc3c(=O)[nH]c(nc3n2[C@@H]4[C@H]([C@@H]([C@@H](O4)CO)O)O)N,0.212,0.235,491.5,-1.21,7,15,211.6,8,0.16,4,--++-+,3
404ai,P24593225.sdf,Cc1c(c(nc(n1)N(CCO)CCO)N(CCO)CCO)[N+](=O)[O-],0.303,0.11,345.4,-1.72,4,11,156.3,11,0.27,0,---+++,3
405ai,P24435179.sdf,C(CCC/N=C/C1C(=O)NC(=S)NC1=O)CC/N=C/C2C(=O)NC(=S)NC2=O,0.152,0,424.5,-1.02,4,10,141.1,9,0.16,0,---+-+,2
406ai,P24415741.sdf,C=CCOC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@@H]2[C@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,0,0.22,425.4,-4.48,8,13,207.6,7,0.18,10,--++-+,3
407ai,P24415735.sdf,C=CCOC(=O)N[C@H]1[C@@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@@H]2[C@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,0.121,0.24,425.4,-4.48,8,13,207.6,7,0.18,10,--++-+,3
408ai,P24224283.sdf,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@@H]2CC[C@]4([C@@H]3CC[C@]4(C(=O)COC(=O)CCC(=O)NCC(=O)[O-])O)C,0.364,0.04,502.6,1.01,2,9,149.9,8,0.47,6,-----+,1
409ai,P23780555.sdf,c1ccc(c(c1)C(=O)N/N=C/[C@@H]([C@@H]([C@H]([C@H](CO)O)O[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O)Cl,0.212,0.26,494.9,-3.68,9,13,221.8,10,0.11,9,--++++,4
410ai,P23780549.sdf,c1ccc(c(c1)C(=O)N/N=C/[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O)Cl,0.364,0.23,494.9,-3.68,9,13,221.8,10,0.11,9,--++++,4
411ai,P23777694.sdf,CC(C)(C(=O)N(C)C[C@@H]([C@H]([C@H]([C@H](CO)O)O)O)O)Oc1ccc(cc1)Cl,0.758,0.22,391.8,-0.61,5,8,130.7,9,0.38,4,--+--+,2
412ai,P23715818.sdf,c1ccc(c(c1)OCCOCCOc2ccccc2OCC(=O)NN)OCC(=O)NN,0.364,0.09,434.4,-0.1,6,11,156.4,14,0.14,0,--++++,4
413ai,P23695470.sdf,COCCNC(=S)N[C@H]1C[C@H]2C(=O)NC[C@H]([NH+]2C1)CCC(=O)NCc3ccc(cc3)OC,0.273,0.09,464.6,-1.27,5,9,105.2,10,0.22,4,--+-++,3
414ai,P23608338.sdf,c1cc(ccc1OC[C@@H](C[NH2+]C(CO)(CO)CO)O)OC[C@H](C[NH2+]C(CO)(CO)CO)O,0.576,0.23,466.5,-6.28,12,12,213.5,18,0.1,2,--++++,4
415ai,P23607385.sdf,Cc1cc(ccc1C(=C2C=CC(=[N+](CCO)CCO)C=C2C)c3ccc(cc3)[N+](=O)[O-])N(CCO)CCO,0.394,0.03,522.6,2.45,4,9,130.3,12,0.19,0,----++,2
416ai,P23524251.sdf,c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@](=O)([O-])O[P@@](=O)([O-])O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,0.152,0.24,564.3,-6.06,7,19,302.7,9,0.14,11,--++-+,3
417ai,P23524215.sdf,c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@](=O)([O-])O[P@@](=O)([O-])O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,0.242,0.25,564.3,-6.06,7,19,302.7,9,0.14,11,--++-+,3
418ai,P23384615.sdf,CC(C)OC(=O)O[C@H](C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N/OC)/c3csc([nH+]3)N)COC,0.121,0.05,558.6,0.25,4,14,182.2,10,0.13,3,---+++,3
419ai,P23204192.sdf,CC(=O)c1ccc(cc1)N[C@H]2[C@H]([C@@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.394,0.24,459.4,-3.07,8,12,198.4,7,0.19,10,--++-+,3
420ai,P23071391.sdf,c1cc(ccc1[N+](=O)[O-])O[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@@H]([C@H]([C@H](O3)CO)O)O)O)O)O,0.576,0.22,463.4,-3.4,7,14,221.7,7,0.15,10,--++-+,3
421ai,P23071281.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@@]3(C[C@H]([C@H]([C@H](O3)[C@H]([C@H](CO)O)O)NC(=O)C)O)C(=O)[O-],0.394,0.21,466.4,-2.7,5,12,198.8,7,0.27,6,--++-+,3
422ai,P23071263.sdf,CC(=O)N[C@@H]1[C@@H](C[C@@](O[C@H]1[C@H]([C@H](CN=[N+]=[N-])O)O)(C(=O)[O-])O)O,0.636,0.247,333.3,-3.89,5,12,208.1,6,0.18,6,--++-+,3
423ai,P23070771.sdf,c1cc(ccc1[N+](=O)[O-])O[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.152,0.25,463.4,-3.4,7,14,221.7,7,0.15,10,--++-+,3
424ai,P22866850.sdf,CCOc1cc(ccc1O)/C=C\2/C(=O)N(C(=O)S2)CC(=O)Nc3ccc(cc3)S(=O)(=O)N,0.03,0,477.5,2.11,4,10,156.1,7,0.51,0,---+--,1
425ai,P22736424.sdf,CN(C[C@@H]([C@H]([C@H]([C@H](CO)O)O)O)O)c1ccc(cc1[N+](=O)[O-])C(F)(F)F,0,0.21,384.3,-0.51,5,9,147.5,8,0.3,4,--+--+,2
426ai,P22373950.sdf,c1cc2c(nc([nH]2)NCCC[C@@H](C(=O)[O-])[NH3+])[n+](c1)CCCC[C@H](C(=O)[O-])[NH3+],0,0.11,379.4,-4.07,8,10,180.1,12,0.21,2,--++++,4
427ai,P22373945.sdf,c1cc2c(nc([nH]2)NCCC[C@H](C(=O)[O-])[NH3+])[n+](c1)CCCC[C@@H](C(=O)[O-])[NH3+],0.212,0.03,379.4,-4.07,8,10,180.1,12,0.21,2,--++++,4
428ai,P22329448.sdf,c1ccc2c(c1)c(c[nH]2)CC(=O)N[C@@H](CC(=O)N)C(=O)NCCCCCNC(=O)[C@H](CCC[NH3+])[NH3+],0.303,0.17,489.6,-1.89,12,11,201.5,16,0.14,2,--++++,4
429ai,P21273083.sdf,Cc1ccc(cc1)OC[C@@H](Cn2c3c(=O)[nH]c(=O)n(c3[nH+]c2NCC[NH3+])C)O,0.545,0.2,390.4,-1.76,7,10,143.1,8,0.36,1,--++-+,3
430ai,P21225122.sdf,C([C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@H]([C@@H](CO)O)O)O)O)O)O,0.152,0.23,344.3,-5.76,9,11,200.5,8,0.2,9,--++-+,3
431ai,P20871918.sdf,CSCC[C@@H](C(=O)O[P@@](=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2nc[nH+]c3N)O)O)[NH3+],0.303,0.2,479.4,-3.16,8,14,223.9,9,0.26,6,--++-+,3
432ai,P20871915.sdf,CSCC[C@@H](C(=O)O[P@@](=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2[nH+]cnc3N)O)O)[NH3+],0.424,0.2,479.4,-3.16,8,14,223.9,9,0.26,6,--++-+,3
433ai,P20859379.sdf,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@H]([C@H]([C@H]([C@H](C=O)O)O)O)O)O)O)O)O,0.424,0.22,342.3,-5.55,8,11,197.4,8,0.2,9,--++-+,3
434ai,P20845034.sdf,c1cnccc1C(=O)N/N=C/[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O,0.212,0.21,299.3,-2.77,6,9,155.5,7,0.24,4,--+--+,2
435ai,P20825237.sdf,c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@](=O)([O-])O[P@@](=O)([O-])OCCCCCC[NH3+])O)O,0.182,0.22,502.3,-3.06,6,15,240.1,13,0.16,6,--++++,4
436ai,P20825228.sdf,c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@](=O)([O-])OCCCCCC[NH3+])O)O,0.545,0.21,502.3,-3.06,6,15,240.1,13,0.16,6,--++++,4
437ai,P20811936.sdf,CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,0.091,0.22,383.4,-5.41,8,12,206.2,9,0.18,9,--++-+,3
438ai,P20646565.sdf,c1cn(c(=O)nc1N)[C@H]2[C@H]([C@@H]([C@@H](O2)CO[P@@](=O)([O-])O[P@@](=O)([O-])OCC[NH3+])O)O,0.424,0.21,445.2,-4.33,7,15,246.2,9,0.26,6,--++-+,3
439ai,P20646562.sdf,c1cn(c(=O)nc1N)[C@@H]2[C@H]([C@@H]([C@@H](O2)CO[P@@](=O)([O-])O[P@@](=O)([O-])OCC[NH3+])O)O,0.242,0.23,445.2,-4.33,7,15,246.2,9,0.26,6,--++-+,3
440ai,P20629043.sdf,CC(=O)Nc1ccc(c(c1)N[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O)NC(=O)C,0.485,0.23,531.5,-3.36,10,15,239.5,8,0.16,10,--++-+,3
441ai,P20629041.sdf,CC(=O)Nc1ccc(c(c1)N[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O)NC(=O)C,0.424,0.27,531.5,-3.36,10,15,239.5,8,0.16,10,--++-+,3
442ai,P20628933.sdf,c1[nH]c(=O)c2c(n1)n(c(n2)NCCCCCC[NH3+])[C@@H]3[C@H]([C@@H]([C@H](O3)CO)O)O,0.303,0.23,383.4,-2.05,8,11,173.2,9,0.27,4,--++-+,3
443ai,P20628741.sdf,c1cc(c(cc1N[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)CO)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O)[N+](=O)[O-])Cl,0.152,0.25,496.9,-2.72,8,14,224.5,7,0.14,10,--++-+,3
444ai,P20528053.sdf,Cc1ccccc1OC[C@@H](Cn2c3c(=O)[nH]c(=O)n(c3nc2NCCCO)C)O,0.333,0.16,403.4,-0.03,4,10,134.4,9,0.37,1,---+-+,2
445ai,P20486415.sdf,C[C@@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)/C(=N/NC(=O)c2ccc(cc2)[N+](=O)[O-])/C,0.182,0,433.4,0.17,2,11,170.9,8,0.34,1,---+-+,2
446ai,P20437792.sdf,CCOC(=O)c1cnc([nH+]c1N)SCC(=O)OCC(=O)NNC(=O)c2ccc(cc2)[N+](=O)[O-],0.515,0.1,479.5,-0.34,5,14,207,9,0.14,0,--++-+,3
447ai,P20367153.sdf,CN(C)c1ccc(cc1[N+](=O)[O-])S(=O)(=O)NCC(=O)OCC(=O)Nc2c(ccs2)C(=O)N,0.606,0.04,485.5,0.28,4,13,191,10,0.24,0,---+++,3
448ai,P20364102.sdf,CCOC(=O)c1cnc(nc1N)SCC(=O)OCC(=O)NNC(=O)c2ccc(cc2)[N+](=O)[O-],0.364,0.02,478.4,0.24,4,14,205.7,9,0.15,0,---+-+,2
449ai,P20223097.sdf,Cn1c2c(c(=O)[nH]c1=O)n(c([nH+]2)NCCO)C[C@@H](COCC=C)O,0.545,0.13,340.4,-2.19,5,10,135.6,9,0.3,1,--++-+,3
450ai,P20188419.sdf,Cc1ccc(cc1C)OC[C@@H](Cn2c3c(=O)[nH]c(=O)n(c3nc2NCCO)C)O,0.545,0.12,403.4,-0.12,4,10,134.4,8,0.41,1,---+-+,2
451aj,P19902726.sdf,CCOC(=O)c1c(n(c[nH+]1)[C@H]2[C@H]3[C@@H]([C@H](O2)COP(=O)([O-])[O-])OC(O3)(C)C)N,0.455,0.129,406.3,-1.68,3,12,171.5,6,0.42,4,---+-+,2
452aj,P19012138.sdf,c1nc(c2c(n1)n(cn2)C[C@@H](C[NH+](CCO)CCO)O)N,0.485,0.09,297.3,-3.36,6,9,134.8,8,0.34,1,--+--+,2
453aj,P18971356.sdf,CCc1ccc(cc1)OC[C@H](Cn2c3c(=O)[nH]c(=O)n(c3nc2N(CCO)CCO)C)O,0.455,0.16,447.5,-0.78,4,11,145.8,11,0.3,1,---+++,3
454aj,P18612345.sdf,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H](CO)[C@H]([C@@H]([C@H](CO)O)O)O)O)O)O)O,0.333,0.24,344.3,-5.76,9,11,200.5,8,0.2,9,--++-+,3
