nwname,fname,smile,CHA score,CCA score
828aq,P147804106.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCCNCCO[C@@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.182,0.22
829aq,P147804097.sdf,CC[C@H]([C@](C)([C@@H]([C@@H](C)C(=O)[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)[O-])O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)O)O)O)O,0.394,0.23
830aq,P147804056.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,0.727,0.21
831aq,P147804055.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,0.273,0.19
832aq,P147804054.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.273,0.23
833aq,P147804053.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCC[NH2+]CCO[C@@H]5[C@@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.061,0.19
834aq,P147804021.sdf,CC[C@H]([C@](C)([C@@H]([C@@H](C)C(=O)[C@H](C)C[C@](C)([C@@H]([C@@H](C)[C@@H]([C@@H](C)C(=O)[O-])O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)[NH+](C)C)O)O)O)O)O,0.545,0.23
835aq,P147800709.sdf,COc1c(ncc(n1)CCCNC(=O)CCCC[C@H]2[C@@H]3[C@H](CS2)NC(=O)N3)NS(=O)(=O)c4ccc(cc4)NC(=O)/C=C/c5ccc(s5)[N+](=O)[O-],0.394,0.07
836aq,P147800466.sdf,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NC(=O)c3ccc(cc3)C(=O)c4ccccc4,0.121,0.1
837aq,P147800410.sdf,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NC(=O)c3c(c(c(c(c3F)F)N=[N+]=[N-])F)F,0.364,0.12
838aq,P147555897.sdf,CC(C)[C@@H](C(=O)OC[C@@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)NC=O)O)O)O)O)NC=O,0.303,0.2
839aq,P147555896.sdf,CC(C)[C@H](C(=O)OC[C@@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)NC=O)O)O)O)O)NC=O,0.667,0.21
840aq,P147555894.sdf,CC(C)[C@H](C(=O)OC[C@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)NC=O)O)O)O)O)NC=O,0.182,0.21
841aq,P147147361.sdf,CCCN(CC(C)(C)C[NH3+])c1c(c(nn1C)C)C(=O)N,0.697,0
842aq,P147031209.sdf,CCCN[C@]1(CC[C@@H](C1)C[C@@H](C(=O)N)[NH2+]C)C(=O)OCC,0.758,0
843aq,P147031200.sdf,CCOC(=O)[C@@]1(CC[C@H](C1)C[C@@H](C(=O)N)[NH2+]C)NC(C)C,0.394,0
844aq,P147031177.sdf,CC(C)N[C@]1(CC[C@H](C1)C[C@@H](C(=O)N)[NH2+]C)C(=O)OC,0.03,0
845aq,P146882936.sdf,C[NH2+][C@@H](C[C@@H]1CCC[C@@](C1)(C(=O)OC)NC)C(=O)N,0.152,0
846aq,P146747106.sdf,CC(C)(C[NH2+]Cc1cc(cs1)C(=O)N)NS(=O)(=O)C,0.394,0
847aq,P14635884.sdf,CCCn1c(=O)[nH]nc1SCC(=O)c2c(n(c(=O)[nH]c2=O)C3CC3)N,0.848,0.06
848aq,P146300123.sdf,COCCOCCNC(=O)NCC1CCC(CC1)C(=O)[O-],0.303,0.01
849aq,P14615407.sdf,CCOC(=O)c1c(c(sc1NC(=O)C[NH+]2CCC(CC2)C(=O)N)C(=O)OCCOC)C,0.03,0.11
850aq,P145956638.sdf,C1CN(CCN1)C(=O)CNC(=O)NCCOCC(=O)[O-],0.273,0.05
851ar,P14497375.sdf,COCCNC(=S)NNC(=O)C(=O)NNC(=S)NCCOC,0.03,0.12
852ar,P14378419.sdf,c1ccc(c(c1)C(=O)NCCOC(=O)Nc2cc[nH+]cc2)C(=O)NCCOC(=O)Nc3ccncc3,0.636,0.04
853ar,P143507381.sdf,C1C[C@H]2CO[C@H](CN2C1)C[NH2+]CCCC/C(=N\O)/N,0.758,0.02
854ar,P143457234.sdf,C[C@@H](CN1CC2(CCC1=O)CCN(CC2)C(=O)Cc3cc(=O)[nH]c(n3)N)O,0.242,0
855ar,P143191974.sdf,C[C@@](CC(=O)[O-])(CNC(=O)NCCNS(=O)(=O)C)O,0.152,0.02
856ar,P14306407.sdf,C[C@H]1CCCC[C@]12C(=O)N(C(=O)N2)CC(=O)N(CCOC)c3c(n(c(=O)[nH]c3=O)CC(C)C)N,0.545,0.17
857ar,P142965950.sdf,Cc1cc(=O)[nH]c(n1)NCCNC(=O)[C@H]2CC(=O)Nc3c2cc(cc3)OC,0.03,0.04
858ar,P142879001.sdf,CC[C@@H](CSCCCn1cnc2c1ncnc2N)[NH3+],0.03,0
859ar,P142231272.sdf,CS(=O)(=O)[C@@H]1CSCCN1S(=O)(=O)c2cnc(nc2)NN,0.212,0.02
860ar,P141806950.sdf,c1nc(c2c(n1)n(cn2)[C@@H](C=O)O[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])C=O)N,0.242,0
861ar,P141702308.sdf,C(CNCCNCCNCCNC(=O)NCCNCCNCC[NH2+]CCN)[NH3+],0.545,0.06
862ar,P14166659.sdf,Cc1c(c(sc1C(=O)N)NC(=O)COC(=O)CN2C(=O)C(NC2=O)(C)C)C(=O)OCCOC,0.152,0.09
863ar,P141654788.sdf,CCOC(=O)CCCNC(=O)N[C@H]1COC[C@]1(C)C(=O)[O-],0.091,0
864ar,P14138034.sdf,Cc1cccc(n1)NC(=O)Cn2cc(c(c2)S(=O)(=O)NC)S(=O)(=O)NC,0.485,0.12
865ar,P141267708.sdf,CCN[C@](CC[C@H](C(=O)N)[NH2+]C)(C1CC1)C(=O)OCC,0.303,0
866ar,P141259875.sdf,CCN[C@@](C)(C[C@H](C)C[C@@H](C(=O)N)[NH2+]C)C(=O)OC,0.485,0
867ar,P141259861.sdf,CCN[C@@](C)(CCCC[C@@H](C(=O)N)[NH2+]C)C(=O)OC,0.424,0
868ar,P141178482.sdf,CCNS(=O)(=O)c1ccc(cc1)N[C@@H]2[C@H](C[C@@H]2OCC)[NH3+],0.758,0.026
869ar,P141164029.sdf,COCCNCc1cn(nn1)Cc2nc(nc(n2)N)N,0.03,0
870ar,P141137897.sdf,C[C@](CNC[C@@H](Cn1cc(cn1)[N+](=O)[O-])O)(CO)O,0.273,0.08
871ar,P141135254.sdf,Cc1c(c(n(n1)C[C@@H](C[NH2+]C[C@@](C)(CO)O)O)C)[N+](=O)[O-],0.212,0.11
872ar,P141129876.sdf,Cc1c(c(n(n1)C[C@H](C[NH2+]C[C@H](CO)O)O)C)[N+](=O)[O-],0.394,0.11
873ar,P141124509.sdf,C[C@](CNC(=O)NCC(C)(C)NS(=O)(=O)C)(C(=O)[O-])O,0.424,0.03
874ar,P141120848.sdf,C[C@](CNC(=O)CCOc1ccc(cc1)OC)(C(=O)[O-])O,0.424,0.08
875ar,P140373464.sdf,c1cc(nc(c1NCC(=O)N(CCC#N)CCC#N)C(=O)N)Cl,0.152,0.02
876ar,P140191412.sdf,C(CS(=O)(=O)CCSc1nnnn1CC[NH3+])C(=O)N,0.576,0.02
877ar,P139843196.sdf,CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](C(C)C)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)[NH3+],0.091,0.13
878ar,P139606985.sdf,CCS(=O)(=O)NCCCNS(=O)(=O)c1ccc(cc1[N-]S(=O)(=O)CC)OC,0.394,0.07
879ar,P139534438.sdf,CCCc1ccc(cc1)O[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)OC(=O)CC(C)C)O)O)O,0.545,0.24
880ar,P139528408.sdf,CN(CCCOCCOCCOCC(=O)N)C(=O)CCCC[C@@H]1[C@H]([C@@H](CS1)[NH3+])N,0.303,0.02
881ar,P139528393.sdf,CO[C@H](COCCOCCOCCCNC(=O)CCCC[C@H]1[C@@H]([C@@H](CS1)[NH3+])N)O,0.727,0
882ar,P139528374.sdf,CO[C@@H](COCCOCCOCCCNC(=O)CCCC[C@@H]1[C@@H]([C@@H](CS1)[NH3+])N)O,0.273,0.05
883ar,P139399710.sdf,CN(CC(=O)NC(=O)NCCOC)[C@@H]1CCCC[C@@H]1C[NH3+],0.212,0.07
884ar,P139343056.sdf,CCNC(=O)[C@H]1CNCCN1CC(=O)NCCCC(=O)[O-],0.636,0.1
885ar,P139274302.sdf,Cc1c(c([nH]n1)S(=O)(=O)NCC(C2CC2)C3CC3)C[NH3+],0,0.09
886ar,P139236098.sdf,CCCC[C@H](C)NS(=O)(=O)c1c(n[nH]c1C[NH3+])C,0.212,0.01
887ar,P139194597.sdf,CCCCC[C@@H](C)NS(=O)(=O)c1c(c[nH]n1)C[NH3+],0.303,0.07
888ar,P138862376.sdf,CN(CCC(=O)OC)S(=O)(=O)[N-]c1ccccc1C(=O)N,0.394,0.01
889ar,P138675551.sdf,COCCNC(=O)NC(=O)CN1CC[NH2+]C[C@H]1C(=O)[O-],0.182,0.1
890ar,P138371933.sdf,C([C@H]([C@@H]([C@@H]([C@@H]([C@H](O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O)O,0.667,0.22
891ar,P138371800.sdf,CC(=O)N[C@@H]1[C@@H]([C@@H]([C@H](O[C@H]1OCCSCCC(=O)OC)CO)O[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O)O)O)O,0.424,0.24
892ar,P138371797.sdf,CC(=O)N[C@H]1[C@@H]([C@@H]([C@H](O[C@H]1OCCSCCC(=O)OC)CO)O[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O)O)O)O,0.606,0.24
893ar,P138368666.sdf,C([C@@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@@H](C=O)O)O)O)O)O)O,0.515,0.23
894ar,P137501105.sdf,CCCOCCOC(=O)c1c(c(n[nH]1)CC)S(=O)(=O)[NH-],0.061,0.12
895ar,P137435382.sdf,C[C@H](CC[NH+](C)C)Nc1cc(nc(n1)SC)NN,0.667,0
896ar,P13731450.sdf,CCCn1c(c(c(=O)[nH]c1=O)N(CCOC)C(=O)CCC(=O)NCc2[nH]c3ccccc3n2)N,0.061,0.06
897ar,P13704083.sdf,c1cc(ccc1Cc2ccc(cc2)S(=O)(=O)N(CCO)CCO)S(=O)(=O)N(CCO)CCO,0.121,0.06
898ar,P137017869.sdf,CC(C)(CC[NH2+]CCCCn1ccnc1)/C(=N/O)/N,0.182,0
899ar,P136908702.sdf,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OS(=O)(=O)[O-])O)CO)O)NC(=O)C)O)O)O,0.545,0.23
900ar,P136908689.sdf,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OS(=O)(=O)[O-])O)CO)O)NC(=O)C)O)O)O,0.273,0.26
901as,P136907416.sdf,c1cn(c(=O)nc1N)[C@H]2C[C@@H]([C@H](O2)CO)O[P@@](=O)([O-])OC[C@@H]3[C@H](C[C@@H](O3)n4cnc5c4nc([nH]c5=O)N)O,0.152,0.23
902as,P136887460.sdf,CC1(c2cc(ccc2C=c3c1cc4=[N+](CCCc4c3)CCCC(=O)NCCCCCNC(=O)CCCC[C@@H]5[C@@H]6[C@@H](CS5)NC(=O)N6)[NH+](C)C)C,0.455,0.06
903as,P135972617.sdf,C([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H](C(=O)C[O-])O)O)O)O)O,0.152,0.23
904as,P135968825.sdf,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,0.152,0.23
905as,P13564029.sdf,c1cc(ccc1OC[C@@H](C[NH+]2CCC(CC2)C(=O)N)O)OC[C@H](C[NH+]3CCC(CC3)C(=O)N)O,0.242,0.01
906as,P13564027.sdf,c1cc(ccc1OC[C@@H](C[NH+]2CCC(CC2)C(=O)N)O)OC[C@@H](C[NH+]3CCC(CC3)C(=O)N)O,0.242,0.02
907as,P134756337.sdf,c1cn(c(=O)nc1SSc2ccn(c(=O)n2)[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O)[C@@H]4[C@@H]([C@@H]([C@@H](O4)CO)O)O,0.545,0.272
908as,P134748881.sdf,C[S@](=O)/C=C/CC/C(=N\OS(=O)(=O)[O-])/S[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O,0.242,0.24
909as,P134647973.sdf,c1ccc2c(c1)c(c[nH]2)[C@H](C(=O)N[C@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H](CCCC[NH3+])N,0.818,0.2
910as,P134647967.sdf,c1ccc2c(c1)c(c[nH]2)[C@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-])NC(=O)[C@@H](CCCC[NH3+])N,0.364,0.19
911as,P13463096.sdf,CNC(=S)NNC(=O)[C@H]([C@@H](C(=O)NNC(=S)NC)O)O,0.303,0.2
912as,P13457000.sdf,Cc1c2ccc(cc2oc(=O)c1CC(=O)N(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)OCC(=C)C,0.394,0.21
913as,P134510572.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.03,0.22
914as,P134510554.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)C=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.061,0.21
915as,P134494966.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)CO)O)O)O[C@@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.182,0.24
916as,P134494952.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0,0.21
917as,P134494947.sdf,C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O[C@@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,0.455,0.24
918as,P134488812.sdf,C[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)O[C@@H]2C=C([C@@H]3[C@H]2C=CO[C@H]3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)CO)OC(=O)/C=C/c5ccc(cc5)OC)OC(=O)C)O,0.333,0.25
919as,P134484814.sdf,COc1cc2c(cc1OC)OC[C@H]3[C@H]2C(=O)c4ccc5c(c4O3)C[C@@H](O5)C(=C)CO[C@@H]6[C@@H]([C@@H]([C@@H]([C@@H](O6)CO[C@@H]7[C@@H]([C@@H]([C@@H](CO7)O)O)O)O)O)O,0.303,0.23
920as,P134484797.sdf,COc1cc2c(cc1OC)OC[C@H]3[C@@H]2C(=O)c4ccc5c(c4O3)C[C@@H](O5)C(=C)CO[C@@H]6[C@@H]([C@@H]([C@@H]([C@@H](O6)CO[C@@H]7[C@@H]([C@@H]([C@@H](CO7)O)O)O)O)O)O,0.576,0.24
921as,P134479971.sdf,CCCC12CN3CC(C1=O)(CN(C2)C3[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)CCC,0,0.23
922as,P134471304.sdf,CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,0.182,0.618
923as,P134471292.sdf,CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)N,0.364,0.793
924as,P134470556.sdf,CC[C@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)[NH3+],0.424,0.6
925as,P134470543.sdf,CC[C@@H](C)[C@H](C(=O)N[C@H](CCC(=O)N)C(=O)N[C@H](CC(=O)N)C(=O)N[C@H](CSCNC(=O)C(C)(C)C)C(=O)N1CCC[C@H]1C(=O)C[C@H](CC(C)C)C(=O)NCC(=O)N)[NH3+],0.242,0.615
926as,P134455299.sdf,c1[nH]nc(n1)CCCNC(=O)N[C@@]2(CCOC2)C(=O)[O-],0.303,0.01
927as,P13412552.sdf,c1[nH]c(=O)c2c(n1)n(c(n2)NCCCCCC[NH3+])[C@@H]3[C@H]([C@@H]([C@@H](O3)CO)O)O,0.333,0.24
928as,P134061404.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/c3ccc(c(c3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCc5ccc(c(c5)O)O)O)O)O)O,0.03,0.296
929as,P134000531.sdf,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)CO)O)O)O)O,0.576,0.23
930as,P133972913.sdf,C([C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]([C@@H]([C@@H](CO)O)O)C(=O)C[O-])O)O)O)O,0.121,0.22
931as,P133972905.sdf,C([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]([C@@H]([C@@H](CO)O)O)C(=O)C[O-])O)O)O)O,0,0.21
932as,P133966855.sdf,C[C@H](CCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,0.636,0.05
933as,P133919421.sdf,CSCC[C@@H](C(=O)O[P@@](=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)[NH3+],0.545,0.18
934as,P133897791.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(c(c5)OCCO)OCCO)OCCO)O)O)O)O)O)O)O,0.273,0.24
935as,P133876881.sdf,CC(C)(C)OC(=O)NCCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,0.848,0.23
936as,P133805143.sdf,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)/C=C/c5ccc(cc5)O)O)O)O)O)O)O,0.03,0.25
937as,P133797903.sdf,c1nc(c2c(n1)n(cn2)[C@H]3[C@H]([C@@H]([C@H](O3)COP(=O)(O[P@@](=O)(O)[O-])O[P@@](=O)(O)[O-])O)O)N,0.091,0.25
938as,P133797901.sdf,c1nc(c2c(n1)n(cn2)[C@H]3[C@H]([C@@H]([C@H](O3)CO[P@@](=O)(O[P@@](=O)(O)[O-])OP(=O)([O-])[O-])O)O)N,0.333,0.22
939as,P133780469.sdf,CCCn1c2c(=O)[nH]c(=O)n(c2nc1N3CCN(CC3)CC(=O)N)C,0.455,0
940as,P132315378.sdf,CCOC(=O)C1=C(NC(=O)N[C@H]1C)COC(=O)CCNS(=O)(=O)c2ccc(cc2)NC(=O)C,0.606,0.05
941as,P132315374.sdf,CCOC(=O)C1=C(NC(=O)N[C@@H]1C)COC(=O)CCNS(=O)(=O)c2ccc(cc2)NC(=O)C,0.121,0.08
942as,P13214089.sdf,CC(=O)OC[C@H]([C@H]([C@@H](/C=N/N=C(N)N)OC(=O)C)OC(=O)C)OC(=O)C,0.091,0.09
943as,P131702085.sdf,C[NH2+]CCCNC(=O)NC1(CCCCC1)CC(=O)O,0.455,0
944as,P131685227.sdf,CC(C)(CC(=O)[O-])NC(=O)N(CC(=O)N)CC(=O)N,0.333,0.03
945as,P131194218.sdf,Cn1ccnc1CC[NH2+]C[C@H](c2ccccc2)/C(=N/O)/N,0.697,0.069
946as,P131154102.sdf,C[C@H](c1ccc(cc1)S(=O)(=O)N)[NH2+]CCCc2nc[nH]n2,0.333,0
947as,P131154100.sdf,C[C@@H](c1ccc(cc1)S(=O)(=O)N)[NH2+]CCCc2nc[nH]n2,0.121,0
948as,P130500827.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCC[NH+]=C(N)N)NC(=O)[C@H](CCC[NH+]=C(N)N)N,0.121,0.13
949as,P130446768.sdf,c1ccc(cc1)/C=C\[C@H]2C=CC(CC2(S(=O)(=O)[O-])S(=O)(=O)[O-])(NN)NN,0.515,0.19
950as,P130309984.sdf,C/C=C\c1cn(c(=O)[nH]c1=O)[C@@H]2C[C@H]([C@@H](O2)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])O,0.424,0.17
951at,P130298401.sdf,C([C@@H](C(=O)[O-])[NH3+])SSC[C@@H](C(=O)[O-])N(C(=O)CN)C(=O)CN,0.212,0.06
952at,P130298398.sdf,C([C@@H](C(=O)[O-])N)SSC[C@@H](C(=O)[O-])N(C(=O)CN)C(=O)CN,0.424,0.04
953at,P130297805.sdf,C1C[C@H]([C@H](OC1)/N=C\2/N[C@H]3[C@@H](CNC(=O)[C@@H]3N2)O)NC(=O)C[C@@H](CCCNC(=O)C[C@@H](CCC[NH3+])[NH3+])[NH3+],0.061,0.11
954at,P130297793.sdf,C1C[C@@H]([C@H](OC1)/N=C\2/N[C@H]3[C@@H](CNC(=O)[C@@H]3N2)O)NC(=O)C[C@@H](CCCNC(=O)C[C@@H](CCC[NH3+])[NH3+])[NH3+],0.576,0.05
955at,P130297776.sdf,C1C[C@H]([C@@H](OC1)/N=C\2/N[C@H]3[C@@H](CNC(=O)[C@@H]3N2)O)NC(=O)C[C@@H](CCCNC(=O)C[C@@H](CCC[NH3+])[NH3+])[NH3+],0.242,0.09
956at,P130296551.sdf,C([C@@H](C(=O)[O-])[NH3+])SSC[C@@H](C(=O)[O-])N(C(=O)C[NH3+])C(=O)CN,0.091,0.03
957at,P130279299.sdf,C([C@@H]([C@@H]([C@@H](/C(=N\NC(=S)N)/C=N/NC(=S)N)O)O)O)O,0.333,0.22
958at,P130229858.sdf,CCOc1ccc(cc1)CC(=O)N/N=C\C(=N\NC(=O)Cc2ccc(cc2)OCC)\[C@@H]([C@@H]([C@@H](CO)O)O)O,0.545,0.24
959at,P130226306.sdf,c1ccc(c(c1)C(=O)N/N=C\[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O)[O-],0.061,0.25
960at,P130222502.sdf,c1ccc(c(c1)C(=O)N/N=C\[C@H]([C@@H]([C@@H]([C@@H](CO)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O)O,0.091,0.23
961at,P130200610.sdf,C[C@H](Cc1ccc(cc1)OC(=O)[C@@H]([C@H](C(=O)Oc2ccc(cc2)C[C@@H](C)[NH3+])O)O)[NH3+],0.182,0.03
962at,P130200607.sdf,C[C@H](Cc1ccc(cc1)OC(=O)[C@@H]([C@@H](C(=O)Oc2ccc(cc2)C[C@@H](C)[NH3+])O)O)[NH3+],0.061,0.05
963at,P130143146.sdf,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1SCCCCCC[NH3+])CO)O)O,0.303,0.21
964at,P130143080.sdf,CC(=O)N[C@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,0.576,0.24
965at,P130143056.sdf,CC(=O)N[C@@H]1[C@@H](O[C@@H]([C@@]([C@]1(C(=O)CO)O)(C(=O)CO)O)[C@H](C(=O)CO)O)OCc2ccccc2,0.061,0.24
966at,P130125102.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCOCCOCCOCCOCCOCCN)NC(=O)N2,0,0
967at,P130124902.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCOCCOCCOCCOCCOCC[NH3+])NC(=O)N2,0.485,0.04
968at,P130124854.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCOCCOCCOCCC(=O)NN)NC(=O)N2,0.485,0.01
969at,P128188787.sdf,CC(C)[C@@H](C(=O)OC[C@@H]([C@H]([C@H]([C@H](COC(=O)[C@H](C(C)C)/N=C/O)O)O)O)O)/[NH+]=C/O,0.606,0.21
