nwname,fname,smile,CHA score,CCA score
565al,P156201861.sdf,CC(C)C[C@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.364,0.22
566al,P156201859.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.394,0.23
567al,P156201841.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CSSC[C@@H](C(=O)Nc3ccc4ccccc4c3)NC(=O)CC[C@@H](C(=O)[O-])N)NC(=O)CC[C@@H](C(=O)[O-])[NH3+],0.273,0.23
568al,P156201795.sdf,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CSc1c(cccn1)[N+](=O)[O-])C(=O)NCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)[NH3+],0.303,0.21
569al,P156201636.sdf,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)[O-])NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)[NH3+],0.152,0.24
570al,P156201610.sdf,C[C@H](C[C@@H]([C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)[O-])[NH3+])O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],0.576,0.23
571al,P156201556.sdf,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5NCC(=O)NCCCCCC[NH3+])O)O)O)O)C(=O)N,0.091,0.25
572al,P156201525.sdf,C[C@H]([C@@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)Cc2ccc(cc2)N)O,0.273,0.23
573al,P156201523.sdf,C[C@@H]([C@@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)Cc2ccc(cc2)N)O,0.333,0.24
574al,P156201508.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@@H](C)NC(=O)[C@@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.273,0.23
575al,P156201506.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)[C@@H](C)NC(=O)[C@@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.394,0.22
576al,P156201489.sdf,C[NH2+]CC(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.394,0.24
577al,P156201487.sdf,C[NH2+]CC(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.455,0.2
578al,P156201431.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)N1CC[C@@H](C1=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCCC[NH3+])[NH3+],0.333,0.24
579al,P156201421.sdf,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CSc1c(cccn1)[N+](=O)[O-])C(=O)NCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)N,0.697,0.23
580al,P156201365.sdf,c1cn(c(=O)nc1N)[C@@H]2C[C@@H]([C@@H](O2)CO[P@@](=O)([O-])O[C@@H]3C[C@@H](O[C@@H]3CO)n4cnc5c4ncnc5N)O,0.121,0.2
581al,P156201355.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)CNC(=O)[C@@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.091,0.2
582al,P156201353.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)CNC(=O)[C@@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.121,0.2
