DHT,seqid
48.3871,844
29.7778,845
37.3288,846
24.6291,847
20.9302,848
30.9353,849
31.4496,850
25.5172,851
39.5506,852
21.1735,853
29.4444,854
35.6707,855
32.6613,856
28.0255,857
33.3333,858
23.6443,859
38.6293,860
28.0318,861
26.1628,862
28.8636,863
35.6979,864
22.4872,865
38.0615,866
41.8919,867
23.9437,868
32.1429,869
34.767,870
30.2658,871
15.6028,872
26.8293,873
24.2991,874
26.7692,875
27.3839,876
38.1356,877
37.931,878
33.7748,879
38.7156,880
38.0783,881
35.2332,882
28.169,883
28.5714,884
35.1675,885
27.3273,886
22.3097,887
30.7978,888
29.8387,889
40.4181,890
27.0089,891
40.0504,892
31.0345,893
30.2876,894
17.9811,895
28.453,896
20.5882,897
29.3651,898
22.0676,899
26.6667,900
38.1944,901
27.8481,902
22.0441,903
27.3632,904
35.4497,905
34.5048,906
19.246,907
17.7489,908
23.9316,909
23.4624,910
34.4144,911
24.5353,912
39.8734,913
30.3704,914
27.3885,915
29.2339,916
26.4706,917
21.0526,918
41.9355,919
40.2597,920
32.567,921
9.5785,922
25.7642,923
17.6471,924
22.0779,925
27.7955,926
23.4146,927
38.2353,928
30.9456,929
30.491,930
24.4048,931
32.538,932
38.9706,933
26.4706,934
33.3333,935
35.8025,936
22.3256,937
24.5327,938
28.9062,939
38.2653,940
38.6885,941
24.9448,942
27.2727,943
37.8917,944
22.8992,945
30,946
34.891,947
44.0191,948
27.2265,949
36.4796,950
21.3115,951
27.9851,952
39.375,953
25.7812,954
32.6087,955
27.2152,956
29.9145,957
31.6832,958
35.493,959
35.7798,960
40.7407,961
24.295,962
26.2626,963
23.3796,964
40.8228,965
40.9091,966
23.1884,967
34.3137,968
34.6154,969
22.2973,970
38.5965,971
31.1258,972
28.4483,973
22.2222,974
24.8945,975
15.9851,976
35.461,977
50,978
25,979
31.6354,980
27.2269,981
20.7951,982
30.8756,983
14.9351,984
30.2326,985
41.4013,986
40.1639,987
36.5239,988
36.7925,989
28.7356,990
25.9843,991
34.9206,992
31.7992,993
25.8706,994
35.012,995
26.0417,996
24.0964,997
34.8354,998
34.375,999
32.5301,1000
30.0781,1001
21.4724,1002
33.9806,1003
27.451,1004
30.3318,1005
39.0756,1006
32.5967,1007
29.1971,1008
35.2657,1009
22.4265,1010
29.368,1011
31.1741,1012
37.2973,1013
31.7143,1014
25.5814,1015
35.9206,1016
21.1009,1017
28.3871,1018
20.9877,1019
25.1656,1020
26.5393,1021
37.2141,1022
22.0676,1023
31.5217,1024
34.3602,1025
36.25,1026
34.4633,1027
40.7115,1028
28.9655,1029
31.25,1030
30.0395,1031
31.405,1032
39.3939,1033
21.9745,1034
20.7171,1035
23.7991,1036
31.4199,1037
29.6636,1038
31.3665,1039
31.3901,1040
35.3659,1041
25.6494,1042
40,1043
21.6,1044
36.747,1045
29.5213,1046
24.1546,1047
35.7357,1048
33.9623,1049
31.7269,1050
30.2632,1051
22.3496,1052
26.2548,1053
32.2581,1054
41.791,1055
22.9333,1056
31.9149,1057
20.8835,1058
34.2629,1059
37.284,1060
25.9459,1061
28.4615,1062
22.9097,1063
34.5263,1064
33.8583,1065
21.2944,1066
26.8293,1067
26.6102,1068
24.5119,1069
33.5227,1070
25.4777,1071
28.2946,1072
38.785,1073
31.1688,1074
36.7299,1075
22.9773,1076
23.6052,1077
21.9388,1078
33.82,1079
23.4991,1080
30.101,1081
26.3027,1082
32.2275,1083
34.5506,1084
38.8889,1085
28.6682,1086
33.4746,1087
20.4545,1088
19.5402,1089
34.5083,1090
31.7919,1091
32.4,1092
24.3094,1093
34.6491,1094
28.6486,1095
36.25,1096
35.7143,1097
35.625,1098
27.7657,1099
32.3155,1100
39.7516,1101
27.933,1102
17.4672,1103
16,1104
37.8788,1105
33.5366,1106
26.6393,1107
37.8299,1108
27.1812,1109
34.07,1110
24.0909,1111
24.2661,1112
18.8931,1113
26.8519,1114
28.3133,1115
24.8748,1116
28.4404,1117
33.3333,1118
39.8551,1119
30.9701,1120
38.9706,1121
32.3232,1122
27.2269,1123
28.1179,1124
30.1762,1125
38.5827,1126
31.3305,1127
22.8659,1128
26,1129
38.6076,1130
27.6398,1131
33.3333,1132
34.6154,1133
44.1648,1134
33.4501,1135
31.6151,1136
20.6612,1137
33.5878,1138
27.907,1139
34.3195,1140
32.3529,1141
23.6196,1142
30.6773,1143
19.0123,1144
33.6188,1145
33.8542,1146
25.1908,1147
33.4661,1148
46.4602,1149
51.0029,1150
27.8481,1151
33.6788,1152
28.0543,1153
40.0335,1154
28.2772,1155
32.6007,1156
36.3839,1157
26.5583,1158
39.5,1159
25.7028,1160
27.0983,1161
21.5054,1162
18.9453,1163
40.8784,1164
